Region	Country	ISO code	ADM1	Latitude	Longitude	Year start	Year end	Age start	Age end	Combined Prevalence	Maximum Prevalence
Africa	Eritrea	ER	Anseba	15.5975	38.8148	2002	2002	5	16	0.023585	0.025
Africa	Eritrea	ER	Maekel	15.3289	38.937199	2002	2002	5	16	0	0
Africa	Eritrea	ER	NRS	15.8406	39.055	2002	2002	5	16	0	0
Africa	Eritrea	ER	Debub	15.0713	39.048401	2002	2002	5	16	0	0
Africa	Eritrea	ER	Debub	14.8328	39.4207	2002	2002	5	16	0.023585	0.025
Africa	Eritrea	ER	Debub	14.624	38.8298	2002	2002	5	16	0.023585	0.025
Africa	Eritrea	ER	NRS	15.7852	39.336102	2002	2002	5	16	0	0
Africa	Eritrea	ER	Maekel	15.4253	38.8974	2002	2002	5	16	0	0
Africa	Eritrea	ER	Anseba	15.7777	38.451	2002	2002	5	16	0	0
Africa	Eritrea	ER	Maekel	15.5465	38.895199	2002	2002	5	16	0	0
Africa	Eritrea	ER	Gash Barka	15.5433	37.884602	2002	2002	5	16	0	0
Africa	Eritrea	ER	Debub	14.8873	38.809502	2002	2002	5	16	0	0
Africa	Eritrea	ER	Gash Barka	15.0976	37.394001	2002	2002	5	16	0	0
Africa	Eritrea	ER	NRS	15.2785	39.573898	2002	2002	5	16	0	0
Africa	Eritrea	ER	Debub	14.6168	38.8064	2002	2002	5	16	0.023585	0.025
Africa	Eritrea	ER	Gash Barka	15.1196	37.5965	2002	2002	5	16	0	0
Africa	Eritrea	ER	Anseba	15.8296	38.757599	2002	2002	5	16	0	0
Africa	Eritrea	ER	Anseba	15.6786	38.3451	2002	2002	5	16	0	0
Africa	Eritrea	ER	Anseba	16.2535	38.360901	2002	2002	5	16	0	0
Africa	Eritrea	ER	SRS	14.6857	40.958099	2002	2002	5	16	0	0
Africa	Eritrea	ER	Gash Barka	15.3187	37.59	2002	2002	5	16	0	0
Africa	Eritrea	ER	SRS	14.6846	40.9585	2002	2002	5	16	0	0
Africa	Eritrea	ER	Anseba	15.725	38.3167	2002	2002	5	16	0	0
Africa	Eritrea	ER	Maekel	15.2105	38.961102	2002	2002	5	16	0	0
Africa	Eritrea	ER	NRS	16.663099	38.4832	2002	2002	5	16	0	0
Africa	Eritrea	ER	Anseba	15.7866	38.452999	2002	2002	5	16	0	0
Africa	Eritrea	ER	Gash Barka	15.2844	37.706402	2002	2002	5	16	0	0
Africa	Eritrea	ER	NRS	15.067	39.746601	2002	2002	5	16	0	0
Africa	Eritrea	ER	SRS	13.5667	41.5159	2002	2002	5	16	0	0
Africa	Eritrea	ER	Anseba	16.053801	38.2108	2002	2002	5	16	0.069001	0.025
Africa	Eritrea	ER	Maekel	15.2669	38.895	2002	2002	5	16	0	0
Africa	Eritrea	ER	Debub	15.2254	39.1563	2002	2002	5	16	0	0
Africa	Eritrea	ER	Anseba	16.012501	38.227901	2002	2002	5	16	0	0
Africa	Eritrea	ER	Gash Barka	15.1117	37.602501	2002	2002	5	16	0	0
Africa	Eritrea	ER	Maekel	15.338	38.9478	2002	2002	5	16	0	0
Africa	Eritrea	ER	Maekel	15.333	38.853901	2002	2002	5	16	0	0
Africa	Eritrea	ER	NRS	15.6889	39.4072	2002	2002	5	16	0	0
Africa	Ghana	GH	Ashanti	7.29777	-1.69348	2008	2008	9	18	0.121599	0.06667
Africa	Ghana	GH	Central	5.13012	-1.20266	2008	2008	8	16	0.04717	0.05
Africa	Ghana	GH	Central	5.52141	-1.32958	2008	2008	8	15	0	0
Africa	Ghana	GH	Central	5.57634	-1.47065	2008	2008	8	17	0.015726	0.01667
Africa	Ghana	GH	Northern	9.08243	-1.82569	2008	2008	10	18	0.107436	0.08333
Africa	Ghana	GH	Ashanti	6.59281	-1.85902	2008	2008	10	15	0.092243	0.06667
Africa	Ghana	GH	Upper East	10.974	-0.48386	2008	2008	11	19	0.122639	0.1
Africa	Ghana	GH	Ashanti	6.58103	-1.11844	2008	2008	9	18	0.093029	0.08333
Africa	Ghana	GH	Northern	8.47081	-2.1748	2008	2008	8	18	0.015726	0.01667
Africa	Ghana	GH	Northern	9.67984	0.17254	2008	2008	7	18	0.046646	0.03333
Africa	Ghana	GH	Northern	8.92265	0.26661	2008	2008	5	19	0.110066	0.11667
Africa	Ghana	GH	Eastern	7.17522	0.194175	2008	2008	11	11	0	0
Africa	Ghana	GH	Ashanti	6.97185	-2.1059	2008	2008	7	18	0.046646	0.03333
Africa	Ghana	GH	Western	6.32644	-3.01553	2008	2008	8	16	0.186457	0.16949
Africa	Ghana	GH	Central	6.20005	-2.15405	2008	2008	6	20	0	0
Africa	Ghana	GH	Eastern	7.00249	0.175915	2008	2008	7	16	0	0
Africa	Ghana	GH	Upper East	11.0007	-0.818165	2008	2008	11	18	0.093522	0.0678
Africa	Ghana	GH	Northern	10.1355	-1.34494	2008	2008	9	19	0.062896	0.06667
Africa	Ghana	GH	Upper West	10.6826	-2.03469	2008	2008	9	27	0	0
Africa	Ghana	GH	Upper West	10.9055	-2.17464	2008	2008	10	19	0	0
