Region	Country	ISO_code	ADM1	Latitude	Longitude	Year_start	Year_end	Age_start	Age_end	Individuals_surveyed	Number_Positives	Prevalence
Africa	Uganda	UG	Jinja	0.6479	33.283901	1998	2005	7	13	122	78	0.63934
Africa	Uganda	UG	Soroti	1.75767	34.034302	1998	2005	6	14	42	30	0.71429
Africa	Uganda	UG	Arua	3.00503	30.9098	2002	2002	5	16	67	22	0.32836
Africa	Uganda	UG	Jinja	0.488533	33.2202	1998	2005	5	15	118	68	0.57627
Africa	Uganda	UG	Iganga	0.20765	33.893101	1998	2005	9	13	64	45	0.70313
Africa	Uganda	UG	Moroto	2.55052	34.620701	1998	2005	7	21	62	0	0
Africa	Uganda	UG	Iganga	0.350683	33.705502	2002	2002	5	16	57	51	0.89474
Africa	Uganda	UG	Soroti	2.06353	33.374599	1998	2005	7	14	42	31	0.7381
Africa	Uganda	UG	Mukono	0.700433	32.901001	1998	2005	6	13	53	26	0.49057
Africa	Uganda	UG	Arua	3.0271	31.385099	1998	2005	8	15	59	45	0.76271
Africa	Uganda	UG	Tororo	0.247683	33.993198	2002	2002	5	16	118	90	0.76271
Africa	Uganda	UG	Rakai	-0.533	31.25	2002	2002	5	16	73	22	0.30137
Africa	Uganda	UG	Kotido	3.6461	34.077702	1998	2005	6	15	39	0	0
Africa	Uganda	UG	Kitgum	3.26083	32.924301	1998	2005	7	13	61	32	0.52459
Africa	Uganda	UG	Jinja	0.594383	33.110001	1998	2005	7	13	116	78	0.67241
Africa	Uganda	UG	Luwero	1.30412	32.5467	1998	2005	8	13	62	44	0.70968
Africa	Uganda	UG	Bundibugyo	1.04708	30.536301	1998	2005	8	13	59	24	0.40678
Africa	Uganda	UG	Moroto	2.38577	34.507401	1998	2005	12	16	59	33	0.55932
Africa	Uganda	UG	Gulu	2.60457	32.1745	1998	2005	8	13	30	22	0.73333
Africa	Uganda	UG	 	0.4628	34.095299	1998	2005	8	13	120	56	0.46667
Africa	Uganda	UG	Mukono	0.890033	32.865299	1998	2005	8	14	64	30	0.46875
Africa	Uganda	UG	Moroto	2.48088	34.611401	1998	2005	6	13	60	3	0.05
Africa	Uganda	UG	Mukono	0.2767	32.792801	1998	2005	7	14	64	46	0.71875
Africa	Uganda	UG	Moyo	3.4872	31.5466	1998	2005	7	17	59	28	0.47458
Africa	Uganda	UG	Moyo	3.32535	31.8932	1998	2005	9	17	61	38	0.62295
Africa	Uganda	UG	Lira	2.26566	33.1427	2002	2002	5	16	60	21	0.35
Africa	Uganda	UG	Moyo	3.21743	31.910101	1998	2005	9	14	62	42	0.67742
Africa	Uganda	UG	Kotido	2.99978	34.088299	1998	2005	8	16	61	12	0.19672
Africa	Uganda	UG	Moyo	3.556	31.9252	2002	2002	5	16	60	26	0.43333
Africa	Uganda	UG	Lira	2.41938	33.072701	2002	2002	5	16	62	20	0.323
Africa	Uganda	UG	Kotido	3.0085	34.197899	1998	2005	6	16	64	19	0.29688
Africa	Uganda	UG	Arua	3.2084	31.2782	1998	2005	9	15	60	48	0.8
Africa	Uganda	UG	Iganga	0.538817	33.904301	1998	2005	7	13	59	39	0.66102
Africa	Uganda	UG	Bundibugyo	0.676633	30.0688	1998	2005	9	14	59	35	0.59322
Africa	Uganda	UG	Tororo	0.2869	34.033401	2002	2002	5	16	120	64	0.53333
Africa	Uganda	UG	Gulu	2.59318	31.9534	1998	2005	9	13	59	26	0.44068
Africa	Uganda	UG	Tororo	0.264117	33.987801	2002	2002	5	16	122	70	0.57377
Africa	Uganda	UG	Iganga	0.443417	33.481998	2002	2002	5	16	128	86	0.67188
Africa	Uganda	UG	Kitgum	2.83623	32.965099	1998	2005	8	15	58	30	0.51724
Africa	Uganda	UG	Luwero	1.51023	32.4063	1998	2005	7	12	63	47	0.74603
Africa	Uganda	UG	Arua	3.35943	31.242001	1998	2005	9	18	64	33	0.51563
Africa	Uganda	UG	Rukungiri	-0.964733	29.923	2005	2005	5	16	58	3	0.05172
Africa	Uganda	UG	Kisoro	-1.19425	29.6598	2005	2005	5	16	57	20	0.35088
Africa	Uganda	UG	Moyo	3.47785	31.6117	1998	2005	8	14	74	28	0.37838
Africa	Uganda	UG	Luwero	1.47005	32.2603	1998	2005	8	14	62	38	0.6129
Africa	Uganda	UG	Soroti	1.78567	34.124298	1998	2005	7	14	42	25	0.59524
Africa	Uganda	UG	Soroti	1.63333	33.089001	2005	2005	5	16	62	12	0.19355
Africa	Uganda	UG	Nebbi	2.47737	31.0868	1998	2005	9	12	65	12	0.18462
Africa	Uganda	UG	Iganga	0.48	33.481998	2002	2002	5	16	76	49	0.64474
Africa	Uganda	UG	Iganga	0.355633	33.442402	2002	2002	5	16	116	102	0.87931
Africa	Uganda	UG	Rukungiri	-0.75	29.950001	2002	2002	5	16	93	41	0.44086
Africa	Uganda	UG	Apac	1.98498	32.528	1998	2005	7	13	63	22	0.34921
Africa	Uganda	UG	Mukono	0.15135	32.799801	1998	2005	4	14	52	36	0.69231
Africa	Uganda	UG	Lira	2.41938	33.072701	2002	2002	5	16	62	20	0.323
Africa	Uganda	UG	Kibaale	1.02597	30.690201	1998	2005	8	16	60	33	0.55
Africa	Uganda	UG	Bundibugyo	0.766217	30.0541	1998	2005	8	13	57	42	0.73684
Africa	Uganda	UG	Luwero	1.50563	32.504398	1998	2005	7	12	58	37	0.63793
Africa	Uganda	UG	Iganga	0.405683	33.4184	1998	2005	9	14	128	112	0.875
Africa	Uganda	UG	Gulu	2.611	32.164001	1998	2005	7	13	31	18	0.58064
Africa	Uganda	UG	Gulu	2.81513	32.3265	1998	2005	9	14	30	12	0.4
Africa	Uganda	UG	Moyo	3.47593	31.9011	1998	2005	8	15	59	26	0.44068
Africa	Uganda	UG	Kotido	3.50243	34.139999	1998	2005	5	16	58	1	0.01724
Africa	Uganda	UG	Moroto	2.52483	34.637199	1998	2005	7	15	59	1	0.01695
Africa	Uganda	UG	Bundibugyo	0.70895	30.076799	1998	2005	8	13	54	44	0.81481
Africa	Uganda	UG	Bundibugyo	1.0468	30.263201	1998	2005	7	14	60	6	0.1
Africa	Uganda	UG	Luwero	1.16262	32.465599	1998	2005	8	15	58	29	0.5
Africa	Uganda	UG	Iganga	0.323433	33.6278	2002	2002	5	16	118	76	0.64407
Africa	Uganda	UG	Kitgum	2.89558	33.082699	1998	2005	10	14	59	41	0.69492
Africa	Uganda	UG	Soroti	2.32558	33.682999	1998	2005	7	14	42	30	0.71429
Africa	Uganda	UG	Kisoro	-1.25956	29.6824	2005	2005	5	16	58	0	0
Africa	Uganda	UG	Rukungiri	-0.550533	29.7889	2005	2005	5	16	59	42	0.71186
Africa	Uganda	UG	Bundibugyo	1.08253	30.292601	1998	2005	7	14	36	6	0.16667
Africa	Uganda	UG	Tororo	0.98985	34.0951	2005	2005	5	16	57	12	0.21053
Africa	Uganda	UG	Moyo	3.56058	31.820601	2002	2002	5	16	58	26	0.44828
Africa	Uganda	UG	Mukono	0.8409	32.957199	1998	2005	8	12	61	32	0.52459
Africa	Uganda	UG	Nebbi	2.46022	31.3671	1998	2005	9	15	62	26	0.41936
Africa	Uganda	UG	Moyo	3.431	31.605101	1998	2005	9	18	59	30	0.50847
Africa	Uganda	UG	Iganga	0.3234	33.712399	2002	2002	5	16	58	48	0.82759
Africa	Uganda	UG	Rukungiri	-0.832217	30.0175	2005	2005	5	16	58	18	0.31035
Africa	Uganda	UG	Jinja	0.451267	33.225601	1998	2005	7	16	114	66	0.57895
Africa	Uganda	UG	Soroti	1.65902	33.5919	2005	2005	5	16	63	30	0.47619
Africa	Uganda	UG	Mukono	0.779633	32.992199	1998	2005	6	13	54	36	0.66667
Africa	Uganda	UG	Iganga	0.521867	33.404598	1998	2005	6	12	122	64	0.52459
