Region	Country	ISO_code	ADM1	Latitude	Longitude	Year_start	Year_end	Age_start	Age_end	Individuals_surveyed	Number_Positives	Prevalence
Africa	Sierra Leone	SL	South	7.553611	-11.553611	2008	2008	8	16	55	0	0
Africa	Sierra Leone	SL	West	8.321444	-13.070056	2008	2008	8	16	50	3	0.06
Africa	Sierra Leone	SL	South	7.879167	-11.781111	2008	2008	8	16	56	0	0
Africa	Sierra Leone	SL	South	7.609444	-12.142778	2008	2008	8	16	55	0	0
Africa	Sierra Leone	SL	East	7.922778	-10.901111	2008	2008	8	16	35	17	0.486
Africa	Sierra Leone	SL	West	8.306278	-13.076306	2008	2008	8	16	44	1	0.023
Africa	Sierra Leone	SL	East	8.030833	-10.929722	2008	2008	8	16	49	22	0.449
Africa	Sierra Leone	SL	East	8.040833	-11.055	2008	2008	8	16	53	23	0.434
Africa	Sierra Leone	SL	East	7.7125	-11.388056	2008	2008	8	16	33	2	0.061
Africa	Sierra Leone	SL	North	8.587667	-11.981972	2008	2008	8	16	70	0	0
Africa	Sierra Leone	SL	South	7.696389	-12.303889	2008	2008	8	16	32	0	0
Africa	Sierra Leone	SL	North	8.44525	-12.874889	2008	2008	8	16	26	0	0
Africa	Sierra Leone	SL	South	7.449167	-12.229167	2008	2008	8	16	51	0	0
Africa	Sierra Leone	SL	North	8.860861	-12.055444	2008	2008	8	16	47	20	0.426
Africa	Sierra Leone	SL	South	7.839444	-11.657778	2008	2008	8	16	34	0	0
Africa	Sierra Leone	SL	North	9.134278	-12.926972	2008	2008	8	16	67	4	0.06
Africa	Sierra Leone	SL	South	7.891944	-12.237778	2008	2008	8	16	58	0	0
Africa	Sierra Leone	SL	North	8.70575	-12.677694	2008	2008	8	16	32	0	0
Africa	Sierra Leone	SL	South	7.570556	-11.650556	2008	2008	8	16	59	0	0
Africa	Sierra Leone	SL	North	9.152778	-11.381944	2008	2008	8	16	81	36	0.444
Africa	Sierra Leone	SL	South	7.658889	-11.995278	2008	2008	8	16	58	0	0
Africa	Uganda	UG	Mbarara	-0.65	30.52	1998	1998	5	10	84	0	0
Africa	Uganda	UG	Luwero	1.05	32.450001	1998	1998	5	10	78	0	0
Africa	Uganda	UG	Rukungiri	-0.75	29.950001	1998	1998	5	10	93	0	0
Africa	Uganda	UG	Iganga	0.58	33.669998	1998	1998	5	10	71	1	0.01408
Africa	Uganda	UG	Luwero	0.833	32.632999	1998	1998	5	10	71	1	0.01408
Africa	Uganda	UG	Iganga	0.48	33.481998	1998	1998	5	10	76	3	0.03947
Africa	Uganda	UG	Tororo	0.85	34.150002	1998	1998	5	10	70	10	0.14286
Africa	Uganda	UG	Kamuli	0.7166	33.166599	1998	1998	5	10	57	0	0
Africa	Uganda	UG	Mubende	0.588	31.85	1998	1998	5	10	81	0	0
Africa	Uganda	UG	Rakai	-0.533	31.25	1998	1998	5	10	73	0	0
Africa	Uganda	UG	Tororo	0.5	34.083	1998	1998	5	10	80	3	0.0375
Africa	Uganda	UG	Iganga	0.6833	33.3666	1998	1998	5	10	67	0	0
Africa	Uganda	UG	Mbale	1.233	34.233002	1998	1998	5	10	66	2	0.0303
Africa	Uganda	UG	Bushenyi	-0.88	30.27	1998	1998	5	10	65	0	0
Africa	Uganda	UG	Mbale	0.983	34.200001	1998	1998	5	10	80	0	0
Africa	Uganda	UG	Kumi	1.2332	34.083302	1998	1998	5	10	75	0	0
Africa	Uganda	UG	Mbarara	-0.383	30.566	1998	1998	5	10	84	0	0
Africa	Uganda	UG	Bushenyi	-0.6	30.030001	1998	1998	5	10	89	0	0
Africa	Uganda	UG	Kabarole	0.675	30.271999	1998	1998	5	10	79	0	0
Africa	Uganda	UG	Iganga	0.633	33.599998	1998	1998	5	10	66	1	0.01515
Africa	Uganda	UG	Iganga	0.0524	33.6059	2004	2004	5	16	30	24	0.8
Africa	Uganda	UG	Iganga	0.342	33.6092	2004	2004	5	16	30	14	0.36667
Africa	Uganda	UG	Iganga	0.3561	33.443199	2004	2004	5	16	30	22	0.73333
Africa	Uganda	UG	Hoima	1.7332	31.307501	2004	2004	5	16	30	27	0.9
Africa	Uganda	UG	Iganga	0.334	33.6707	2004	2004	5	16	30	15	0.5
Africa	Uganda	UG	Iganga	0.4219	33.572102	2004	2004	5	16	30	0	0
Africa	Uganda	UG	Iganga	0.4016	33.6408	2004	2004	5	16	30	5	0.16667
Africa	Uganda	UG	Hoima	1.6718	31.251301	2004	2004	5	16	30	28	0.93333
Africa	Uganda	UG	Iganga	0.3212	33.6283	2004	2004	5	16	30	27	0.9
Africa	Uganda	UG	Iganga	0.4062	33.595798	2004	2004	5	16	30	2	0.06667
Africa	Uganda	UG	Iganga	0.1113	33.599899	2004	2004	5	16	30	23	0.76667
Africa	Uganda	UG	Iganga	0.4202	33.6026	2004	2004	5	16	30	0	0
Africa	Uganda	UG	Iganga	0.3998	33.565399	2004	2004	5	16	30	3	0.1
Africa	Uganda	UG	Iganga	0.4103	33.592701	2004	2004	5	16	30	0	0
Africa	Uganda	UG	Hoima	1.581	31.186501	2004	2004	5	16	30	19	0.63333
Africa	Uganda	UG	Iganga	0.022	33.6366	2004	2004	5	16	30	20	0.66667
Africa	Uganda	UG	Iganga	0.1373	33.550499	2004	2004	5	16	30	30	1
Africa	Uganda	UG	Iganga	-0.0455	33.618401	2004	2004	5	16	30	12	0.4
Africa	Uganda	UG	Iganga	0.2616	33.575199	2004	2004	5	16	30	4	0.13333
Africa	Uganda	UG	Iganga	-0.0106	33.654099	2004	2004	5	16	30	30	1
Africa	Uganda	UG	Iganga	0.3459	33.629902	2004	2004	5	16	30	17	0.56667
Africa	Uganda	UG	Iganga	0.4032	33.619499	2004	2004	5	16	30	3	0.1
Africa	Uganda	UG	Iganga	0.4436	33.4823	2004	2004	5	16	30	3	0.1
Africa	Uganda	UG	Hoima	1.4939	31.284201	2004	2004	5	16	30	1	0.03333
Africa	Uganda	UG	Iganga	0.4212	33.555901	2004	2004	5	16	30	0	0
Africa	Uganda	UG	Iganga	0.1776	33.516701	2004	2004	5	16	30	26	0.86667
Africa	Uganda	UG	Iganga	0.3111	33.665401	2004	2004	5	16	30	23	0.76667
Africa	Uganda	UG	Iganga	0.3881	33.622299	2004	2004	5	16	30	5	0.16667
Africa	Uganda	UG	Iganga	0.3606	33.620399	2004	2004	5	16	30	3	0.1
Africa	Uganda	UG	Iganga	0.1236	33.574799	2004	2004	5	16	30	18	0.6
Africa	Uganda	UG	Nebbi	2.45945	31.3673	2004	2004	8	14	50	7	0.14
Africa	Uganda	UG	Nebbi	2.56355	31.439501	2004	2004	8	14	48	8	0.16667
Africa	Uganda	UG	Nebbi	2.56121	31.415701	2004	2004	8	14	50	6	0.12
Africa	Uganda	UG	Nebbi	2.5275	31.4408	2004	2004	8	14	50	11	0.22
Africa	Uganda	UG	Nebbi	2.475	31.507601	2004	2004	8	14	50	10	0.2
Africa	Uganda	UG	Nebbi	2.46668	31.319	2004	2004	8	14	51	13	0.2549
Africa	Uganda	UG	Nebbi	2.46135	31.4932	2004	2004	8	14	54	36	0.66667
Africa	Uganda	UG	Nebbi	2.46139	31.490601	2004	2004	8	14	49	20	0.40816
Africa	Uganda	UG	Nebbi	2.48478	31.476299	2004	2004	8	14	51	20	0.39216
Africa	Uganda	UG	Nebbi	2.47572	31.4779	2004	2004	8	14	51	11	0.21569
Africa	Uganda	UG	Nebbi	2.52416	31.4632	2004	2004	8	14	46	5	0.1087
Africa	Uganda	UG	Nebbi	2.55187	31.324499	2004	2004	8	14	45	8	0.17778
Africa	Uganda	UG	Nebbi	2.59954	31.3883	2004	2004	8	14	44	8	0.18182
Africa	Uganda	UG	Nebbi	2.48288	31.4632	2004	2004	8	14	48	5	0.10417
Africa	Uganda	UG	Nebbi	2.4841	31.517	2004	2004	8	14	48	5	0.10417
Africa	Uganda	UG	Nebbi	2.46237	31.502701	2004	2004	8	14	47	19	0.40425
Africa	Uganda	UG	Nebbi	2.45771	31.478001	2004	2004	8	14	50	32	0.64
Africa	Uganda	UG	Nebbi	2.49528	31.374201	2004	2004	8	14	49	4	0.08163
Africa	Uganda	UG	Nebbi	2.52413	31.4632	2004	2004	8	14	41	14	0.34146
Africa	Uganda	UG	Nebbi	2.41447	31.3088	2004	2004	8	14	42	16	0.38095
Africa	Uganda	UG	Nebbi	2.46471	31.3557	2004	2004	8	14	54	8	0.14815
Africa	Uganda	UG	Nebbi	2.48986	31.4599	2004	2004	8	14	53	15	0.28302
Africa	Uganda	UG	Soroti	1.65383	33.370701	2005	2005	5	16	61	35	0.57377
Africa	Uganda	UG	Kitgum	3.4036	32.608799	1998	2005	7	14	59	11	0.18644
Africa	Uganda	UG	Moyo	3.7123	31.7836	1998	2005	9	16	58	2	0.03448
Africa	Uganda	UG	Apac	2.50895	32.464901	1998	2005	8	13	61	1	0.01639
Africa	Uganda	UG	Iganga	0.5343	33.8741	2002	2002	5	16	59	26	0.44068
Africa	Uganda	UG	Moyo	3.28573	31.6443	1998	2005	8	16	59	52	0.88136
Africa	Uganda	UG	Lira	1.55203	32.826801	2002	2002	5	16	65	49	0.754
Africa	Uganda	UG	Apac	2.47488	32.631699	1998	2005	7	14	62	0	0
Africa	Uganda	UG	Lira	2.18536	33.2038	2002	2002	5	16	56	35	0.63
Africa	Uganda	UG	Moroto	2.45252	34.472301	1998	2005	8	18	66	0	0
Africa	Uganda	UG	Jinja	0.41925	33.2155	1998	2005	8	14	116	4	0.03448
Africa	Uganda	UG	Arua	3.25155	31.0488	1998	2005	8	15	67	2	0.02985
Africa	Uganda	UG	Rukungiri	-0.766667	29.950001	2005	2005	5	16	59	0	0
Africa	Uganda	UG	Moyo	3.43718	31.795099	1998	2005	9	16	62	26	0.41936
